codigo;nombre;acronimo;curso;semestre;tipo;creditos
93001013;SISTEMAS DE GESTIÓN DE SEGURIDAD DE LA INFORMACIÓN;SGSI;1;2S;opt;3
93001014;SEGURIDAD FÍSICA Y CONVERGENCIA;;1;2S;opt;3
93001015;PRÁCTICAS EN EMPRESA;;1;I;opt;6
93001016;TRABAJO FIN DE MÁSTER;TFM;1;I;obl;12
93001017;INGENIERÍA DE SISTEMAS ELECTRÓNICOS ANALÓGICOS Y DIGITALES;SEAD;1;1S;bas;6
93001018;LABORATORIO DE CIRCUITOS Y SISTEMAS ELECTRÓNICOS;LCSE;1;1S;bas;4
93001019;METODOLOGÍA, CALIDAD Y HABILIDADES PERSONALES;MCHP;1;A;obl;5
93001020;AVANCES EN INGENIERÍA DE SISTEMAS ELECTRÓNICOS;SEMN;1;A;bas;3
93001021;SISTEMAS EMPOTRADOS;SEMP;1;1S;obl;4
93001022;SISTEMAS ANALÓGICOS;SEAN;1;2S;bas;4
93001023;DISEÑO ELECTRÓNICO ORIENTADO A PRODUCTO;DEOP;1;2S;bas;4
93001024;LABORATORIO DE SISTEMAS ELECTRÓNICOS;LSEL;1;2S;bas;3
93001025;MICROELECTRÓNICA;MCRE;1;1S;obl;4
93001026;POTENCIA Y CONTROL;POTC;1;2S;opt;4
93001027;SISTEMAS EMPOTRADOS AVANZADOS;SEMA;1;2S;obl;4
93001028;ARQUITECTURAS DIGITALES AVANZADAS;ADAV;1;2S;obl;4
93001029;INTELIGENCIA EN SISTEMAS ELECTRÓNICOS;INSE;1;2S;obl;4
93001030;TRABAJO FIN DE MÁSTER;TFM;1;I;obl;15
93001034;FUNDAMENTOS DE CELULAS SOLARES;FCS;1;1S;bas;4
93001035;ENERGIA Y SOCIEDAD;EyS;1;1S;obl;5
93001036;LABORATORIO DE CARACTERIZACION DE CELULAS SOLARES;LCCS;1;1S;bas;4
93001037;INGENIERIA DE LOS SISTEMAS FOTOVOLTAICOS;ISFV;1;1S;obl;4
93001038;INGENIERIA ELECTRICA DE LOS SISTEMAS FV;IESFV;1;1S;opt;4
93001039;LABORATORIO DE TECNOLOGIA DE CELULAS SOLARES;LTCS;1;1S;opt;5
93001040;FISICA DE LOS MATERIALES FOTOVOLTAICOS;FMFV;1;1S;obl;4
93001041;INGENIERIA OPTICA;IO;1;1S;opt;4
93001042;SEMINARIO DE ACTUALIDAD ENERGETICA;SEM1;1;1S;opt;4
93001043;TRABAJO FIN DE MASTER;TFM;1;I;obl;15
93001044;LABORATORIO DE MODULOS E INSTALACIONES FV;LMI;1;2S;bas;4
93001045;SISTEMAS CONECTADOS A LA RED ELECTRICA;SCRE;1;2S;opt;4
93001046;CELULAS SOLARES DE NUEVA GENERACION;CSNG;1;2S;obl;3
93001047;INTEGRACION ARQUITECTONICA DE LA ENERGIA SOLAR FOTOVOLTAICA;IA;1;2S;opt;4
93001048;LABORATORIO DE SISTEMAS FV DE CONCENTRACION;LSFVC;1;2S;obl;4
93001049;LABORATORIO DE SIMULACION DE CELULAS Y SISTEMAS;LS;1;2S;obl;4
93001050;LABORATORIO DE INGENIERIA ELECTRICA FOTOVOLTAICA;LIEFV;1;2S;obl;4
93001051;SEMINARIO SOBRE MERCADO FV  FINANCIACION Y GESTION;SEM2;1;2S;obl;4
93001052;LABORATORIO COMPUTACIONAL DE MATERIALES FOTOVOLTAICOS;LCMFV;1;2S;obl;4
93001053;PROGRAMA DE INTERCAMBIO OBLIGATORIA 6 ECTS;;1;2S;obl;6
93001054;PROGRAMA DE INTERCAMBIO OBLIGATORIA 3 ECTS 1;;1;2S;obl;3
93001055;PROGRAMA DE INTERCAMBIO OBLIGATORIA 3 ECTS 2;;1;2S;obl;3
93001056;PROGRAMA DE INTERCAMBIO OPTATIVA 9 ECTS;;1;2S;opt;9
93001057;PROGRAMA DE INTERCAMBIO OPTATIVA 4,5 ECTS 1;;1;2S;opt;4.5
93001058;PROGRAMA DE INTERCAMBIO OPTATIVA 4,5 ECTS 2;;1;2S;opt;4.5
93001059;PROGRAMA DE INTERCAMBIO OPTATIVA 6 ECTS 1;;1;2S;opt;6
93001060;PROGRAMA DE INTERCAMBIO OPTATIVA 6 ECTS 2;;1;2S;opt;6
93001061;PROGRAMA DE INTERCAMBIO OPTATIVA 3 ECTS 1;;1;2S;opt;3
93001062;PROGRAMA DE INTERCAMBIO OPTATIVA 3 ECTS 2;;1;2S;opt;3
93001063;PROGRAMA DE INTERCAMBIO OPTATIVA 3 ECTS 3;;1;2S;opt;3
93001064;PROGRAMA DE INTERCAMBIO PRACTICAS 3 ECTS ;;1;2S;;3
93001065;PROGRAMA DE INTERCAMBIO PRACTICAS 6 ECTS ;;1;2S;;6
93001066;PROGRAMA DE INTERCAMBIO PRACTICAS 12 ECTS;;1;2S;;12
93001067;PROGRAMA DE INTERCAMBIO PRACTICAS 15 ECTS;;1;2S;;15
93001068;PRACTICAS COMPLEMENTOS TFM;;1;1S;opt;15
93001069;FROM ARRAY PROCESSING TO MIMO COMMUNICATIONS;;2;2S;opt;6
93001070;PREDICTIVE AND DESCRIPTIVE LEARNING;;2;1S;opt;6
93001071;DATA SCIENCE FOUNDATIONS AND APPLICATIONS;;2;1S;opt;2
93001072;MACHINE LEARNING LAB ;;2;1S;opt;4.5
93001073;BLOCKCHAIN: DESARROLLO DE APLICACIONES;;2;1S;opt;3
93001074;BLOCKCHAIN: FUNDAMENTOS Y ARQUITECTURAS;;2;2S;opt;3
93001075;PRÁCTICAS EXTERNAS;;1;I;opt;8
93001080;REDES DEFINIDAS POR SOFTWARE Y VIRTUALIZACIÓN DE REDES;;1;1S;obl;6
93001081;GESTIÓN Y OPERACIÓN DE LA CIBERSEGURIDAD Y PRIVACIDAD;;1;2S;obl;6
93001082;INGENIERÍA DE SERVICIOS TELEMÁTICOS;;1;1S;obl;6
93001083;ANALÍTICA DE BIG DATA;;1;2S;obl;6
93001084;EVOLUCIÓN DE REDES INALÁMBRICAS I (5G, VSAT, DTN, IOT);;1;1S;opt;3
93001085;EVOLUCIÓN DE REDES INALÁMBRICAS II (5G, VSAT, DTN, IOT);;1;2S;opt;3
93001086;SIMULACIÓN DE REDES DE COMUNICACIONES;;1;1S;opt;3
93001087;TECNOLOGÍAS PARA APLICACIONES Y SERVICIOS DE INTERNET;;1;2S;opt;3
93001088;FUNDAMENTOS DE BIG DATA;;1;1S;opt;3
